iter	Passed	Remaining
0	10	10913
1	20	10352
2	32	10729
3	43	10759
4	52	10481
5	60	10012
6	68	9771
7	76	9506
8	85	9448
9	93	9265
10	102	9204
11	111	9164
12	119	9082
13	127	8973
14	136	8986
15	145	8945
16	154	8947
17	163	8918
18	171	8851
19	179	8800
20	187	8742
21	195	8688
22	203	8636
23	210	8576
24	218	8539
25	226	8482
26	234	8461
27	242	8414
28	250	8395
29	259	8387
30	269	8428
31	279	8448
32	287	8431
33	296	8416
34	304	8401
35	313	8394
36	321	8359
37	329	8343
38	337	8306
39	345	8299
40	353	8268
41	361	8251
42	369	8216
43	377	8207
44	385	8180
45	393	8161
46	401	8141
47	409	8123
48	417	8097
49	425	8078
50	433	8062
51	441	8044
52	449	8026
53	456	8004
54	465	7991
55	472	7966
56	481	7963
57	488	7931
58	497	7927
59	504	7908
60	512	7896
61	520	7875
62	529	7868
63	536	7851
64	564	8117
65	573	8110
66	581	8102
67	591	8109
68	601	8111
69	610	8109
70	619	8100
71	628	8100
72	639	8120
73	653	8173
74	666	8216
75	683	8310
76	693	8318
77	702	8302
78	713	8323
79	728	8379
80	738	8373
81	747	8373
82	760	8401
83	781	8519
84	793	8539
85	804	8551
86	813	8532
87	822	8524
88	831	8509
89	841	8506
90	849	8487
91	858	8477
92	867	8462
93	876	8447
94	884	8426
95	893	8414
96	905	8427
97	914	8416
98	924	8417
99	934	8407
100	945	8413
101	955	8410
102	964	8397
103	974	8393
104	982	8373
105	991	8364
106	999	8345
107	1008	8328
108	1017	8314
109	1026	8302
110	1035	8290
111	1044	8282
112	1053	8270
113	1061	8251
114	1071	8244
115	1080	8235
116	1090	8230
117	1100	8226
118	1108	8206
119	1116	8188
120	1124	8172
121	1133	8160
122	1141	8141
123	1150	8124
124	1157	8104
125	1166	8091
126	1174	8074
127	1182	8058
128	1190	8039
129	1199	8027
130	1207	8008
131	1215	7993
132	1223	7974
133	1231	7958
134	1239	7940
135	1247	7925
136	1255	7907
137	1263	7893
138	1271	7876
139	1279	7862
140	1287	7844
141	1295	7829
142	1303	7813
143	1311	7795
144	1319	7782
145	1327	7765
146	1336	7752
147	1343	7735
148	1352	7723
149	1359	7705
150	1368	7695
151	1376	7682
152	1385	7668
153	1392	7650
154	1401	7640
155	1408	7622
156	1417	7611
157	1425	7594
158	1433	7583
159	1441	7567
160	1449	7555
161	1457	7540
162	1467	7536
163	1479	7543
164	1492	7552
165	1517	7623
166	1536	7662
167	1550	7677
168	1564	7690
169	1573	7682
170	1585	7685
171	1595	7682
172	1605	7672
173	1614	7665
174	1624	7658
175	1635	7657
176	1644	7647
177	1653	7636
178	1665	7637
179	1675	7632
180	1683	7619
181	1692	7608
182	1700	7593
183	1709	7580
184	1717	7564
185	1725	7553
186	1734	7539
187	1742	7524
188	1750	7509
189	1758	7494
190	1768	7489
191	1776	7478
192	1784	7462
193	1794	7455
194	1802	7442
195	1811	7431
196	1819	7418
197	1829	7409
198	1839	7404
199	1850	7401
200	1860	7394
201	1868	7383
202	1879	7377
203	1888	7367
204	1897	7360
205	1907	7354
206	1916	7343
207	1926	7334
208	1934	7322
209	1944	7315
210	1953	7304
211	1962	7296
212	1972	7286
213	1982	7280
214	1991	7271
215	1999	7258
216	2009	7250
217	2017	7236
218	2027	7229
219	2035	7218
220	2044	7205
221	2053	7197
222	2062	7185
223	2070	7171
224	2078	7158
225	2087	7148
